"","paisesbaj","tasanat","tasamor","mortinf","esphom","espmuj","pnb"
"1","sudafrica",32.1,9.9,72,57.5,63.5,2530
"2","tailandia",22.3,7.7,28,63.6,68.9,1420
"3","austria",14.9,7.4,8,73.3,79.6,17000
"4","israel",22.3,6.3,9.7,73.9,77.4,10920
"5","bahrein",28.4,3.8,16,66.8,69.4,6340
"6","argentina",20.7,8.4,25.7,65.5,72.7,2370
"7","jordania",38.9,6.4,44,64.2,67.8,1240
"8","suecia",14.5,11.1,5.6,74.2,80,23660
"9","tunez",31.1,7.3,52,64.9,66.4,1440
"10","oman",45.6,7.8,40,62.2,65.8,5220
"11","kenya",47,11.3,72,56.5,60.5,370
"12","paraguay",34.8,6.6,42,64.4,68.5,1110
"13","filipinas",33.2,7.7,45,62.5,66.1,730
"14","italia",9.7,9.1,8.8,72,78.6,16830
"15","angola",47.2,20.2,137,42.9,46.1,610
"16","irak",42.6,7.8,69,63,64.8,3020
"17","afganistan",40.4,18.7,181.6,41,42,168
"18","gabon",39.4,16.8,103,49.9,53.2,390
"19","canada",14.5,7.3,7.2,73,79.8,20470
"20","ghana",44.4,13.1,90,52.2,55.8,390
"21","peru",32.9,8.3,109.9,56.8,66.5,1160
"22","zaire",45.6,14.2,83,50.3,53.7,220
"23","marruecos",35.5,9.8,82,59.1,62.5,960
"24","hongkong",11.7,4.9,6.1,74.3,80.1,14210
"25","malasia",31.6,5.6,24,67.5,71.6,2320
"26","ucrania",13.4,11.6,13,66.4,74.8,1320
"27","nigeria",48.5,15.6,105,48.8,52.2,360
"28","bolivia",46.6,18,111,51,55.4,630
"29","noruega",14.3,10.7,7.8,67.2,75.7,23120
"30","espania",10.7,8.2,8.1,72.5,78.6,11020
"31","ecuador",32.9,7.4,63,63.4,67.6,980
"32","eeuu",16.7,8.1,9.1,71.5,78.3,21790
"33","somalia",50.1,20.2,132,43.4,46.6,120
"34","paisesbaj",13.2,8.6,7.1,73.3,79.9,17320
"35","chile",23.4,5.8,17.1,68.1,75.1,1940
"36","bangladesh",42.2,15.5,119,56.9,56,210
"37","pakistan",30.3,8.1,107.7,59,59.2,380
"38","guayana",28.3,7.3,56,60.4,66.1,330
"39","indonesia",28.6,9.4,75,58.5,62,570
"40","mexico",29,23.2,43,62.1,66,2490
"41","colombia",27.4,6.1,40,63.4,69.2,1260
"42","egipto",38.8,9.5,49.4,57.8,60.3,600
"43","belgica",12,10.6,7.9,70,76.8,15540
"44","bulgaria",12.5,11.9,14.4,68.3,74.7,2250
"45","kuwait",26.8,2.2,15.6,71.2,75.4,16150
"46","portugal",11.9,9.5,13.1,66.5,72.4,7600
"47","albania",24.7,5.7,30.8,69.6,75.5,600
"48","finlandia",13.2,10.1,5.8,70.7,78.7,26040
"49","polonia",14.3,10.2,16,67.2,75.7,1690
"50","uganda",52.2,15.6,103,49.9,52.7,220
"51","gambia",47.4,21.4,143,41.4,44.6,260
"52","suiza",12.5,9.5,7.1,73.9,80,34064
"53","rumania",13.6,10.7,26.9,66.5,72.4,1640
"54","grecia",10.1,9.2,11,65.4,74,5990
"55","mozambiq",45,18.5,141,44.9,48.1,80
"56","tanzania",50.5,14,106,51.3,54.7,110
"57","iran",42.5,11.5,108.1,55.8,55,2490
"58","japon",9.9,6.7,4.5,75.9,81.8,25430
"59","sudan",44.6,15.8,108,48.6,51,480
"60","emiratos",22.8,3.8,26,68.6,72.9,19860
"61","namibia",44,12.1,135,55,57.5,1030
"62","malawi",48.3,25,130,38.1,41.2,200
"63","sierraleona",48.2,23.4,154,39.4,42.6,240
"64","venezuela",27.5,4.4,23.3,66.7,72.8,2560
"65","dinamarca",12.4,11.9,7.5,71.8,77.7,22080
"66","brasil",28.6,7.9,63,62.3,67.6,2680
"67","arabia",42.1,7.6,71,61.7,65.2,7050
"68","hungria",11.6,13.4,14.8,65.4,73.8,2780
"69","urss",17.7,10,23,64.4,74,2242
"70","francia",13.6,9.4,7.4,72.3,80.5,19490
"71","argelia",35.5,8.3,74,61.6,63.3,2060
"72","turquia",29.2,8.4,76,62.5,65.8,1630
"73","nepal",39.6,14.8,128,50.9,48.1,170
"74","zimbabue",41.7,10.3,66,56.5,60.1,NA
